datetime;ask;bid;spread
2023-06-28 08:07:05.226;33930.5;33929.5;1.0
2023-06-28 08:07:07.116;33932.5;33931.5;1.0
2023-06-28 08:07:07.619;33933.0;33932.0;1.0
2023-06-28 08:07:08.418;33933.5;33932.5;1.0
2023-06-28 08:07:19.325;33934.0;33933.0;1.0
2023-06-28 08:07:19.616;33933.5;33932.5;1.0
2023-06-28 08:07:20.726;33933.0;33932.0;1.0
2023-06-28 08:07:22.717;33932.5;33931.5;1.0
2023-06-28 08:07:23.027;33933.0;33932.0;1.0
2023-06-28 08:07:26.716;33933.5;33932.5;1.0
2023-06-28 08:07:28.416;33933.0;33932.0;1.0
2023-06-28 08:07:29.017;33933.5;33932.5;1.0
2023-06-28 08:07:29.429;33933.0;33932.0;1.0
2023-06-28 08:07:29.818;33933.5;33932.5;1.0
2023-06-28 08:07:30.708;33933.0;33932.0;1.0
2023-06-28 08:07:31.619;33933.5;33932.5;1.0
2023-06-28 08:07:32.313;33933.0;33932.0;1.0
2023-06-28 08:07:33.620;33932.5;33931.5;1.0
2023-06-28 08:07:36.518;33933.0;33932.0;1.0
2023-06-28 08:07:37.417;33933.5;33932.5;1.0
2023-06-28 08:07:39.321;33934.0;33933.0;1.0
2023-06-28 08:07:40.717;33932.5;33931.5;1.0
2023-06-28 08:07:43.219;33933.0;33932.0;1.0
2023-06-28 08:07:43.720;33932.5;33931.5;1.0
2023-06-28 08:07:44.220;33932.0;33931.0;1.0
2023-06-28 08:07:46.317;33932.5;33931.5;1.0
2023-06-28 08:07:50.316;33933.0;33932.0;1.0
2023-06-28 08:07:54.117;33933.5;33932.5;1.0
2023-06-28 08:07:54.621;33934.0;33933.0;1.0
2023-06-28 08:07:56.216;33934.5;33933.5;1.0
2023-06-28 08:07:56.517;33932.5;33931.5;1.0
2023-06-28 08:07:58.721;33932.0;33931.0;1.0
2023-06-28 08:08:01.116;33931.5;33930.5;1.0
2023-06-28 08:08:01.316;33932.5;33931.5;1.0
2023-06-28 08:08:04.320;33932.0;33931.0;1.0
2023-06-28 08:08:04.716;33931.5;33930.5;1.0
2023-06-28 08:08:13.018;33929.5;33928.5;1.0
2023-06-28 08:08:13.316;33930.5;33929.5;1.0
2023-06-28 08:08:14.915;33931.0;33930.0;1.0
2023-06-28 08:08:18.217;33930.5;33929.5;1.0
2023-06-28 08:08:19.317;33931.0;33930.0;1.0
2023-06-28 08:08:19.721;33931.5;33930.5;1.0
2023-06-28 08:08:27.016;33929.0;33928.0;1.0
2023-06-28 08:08:30.418;33930.5;33929.5;1.0
2023-06-28 08:08:31.416;33931.5;33930.5;1.0
2023-06-28 08:08:39.220;33931.0;33930.0;1.0
2023-06-28 08:08:41.919;33930.0;33929.0;1.0
2023-06-28 08:08:44.416;33930.5;33929.5;1.0
2023-06-28 08:08:45.017;33931.0;33930.0;1.0
2023-06-28 08:08:45.720;33930.5;33929.5;1.0
2023-06-28 08:08:56.718;33930.0;33929.0;1.0
2023-06-28 08:08:57.017;33930.5;33929.5;1.0
2023-06-28 08:08:59.816;33931.0;33930.0;1.0
2023-06-28 08:09:00.321;33930.5;33929.5;1.0
2023-06-28 08:09:02.018;33931.5;33930.5;1.0
2023-06-28 08:09:02.716;33929.5;33928.5;1.0
2023-06-28 08:09:05.116;33930.0;33929.0;1.0
2023-06-28 08:09:05.416;33929.5;33928.5;1.0
2023-06-28 08:09:09.316;33929.0;33928.0;1.0
2023-06-28 08:09:09.616;33928.5;33927.5;1.0
2023-06-28 08:09:14.821;33929.5;33928.5;1.0
2023-06-28 08:09:17.916;33928.5;33927.5;1.0
2023-06-28 08:09:28.518;33927.0;33926.0;1.0
2023-06-28 08:09:29.612;33927.5;33926.5;1.0
2023-06-28 08:09:32.221;33928.0;33927.0;1.0
2023-06-28 08:09:35.119;33927.5;33926.5;1.0
2023-06-28 08:09:39.117;33927.0;33926.0;1.0
2023-06-28 08:09:39.418;33927.5;33926.5;1.0
2023-06-28 08:09:39.716;33926.5;33925.5;1.0
2023-06-28 08:09:40.015;33927.0;33926.0;1.0
2023-06-28 08:09:42.716;33927.5;33926.5;1.0
2023-06-28 08:09:44.616;33926.5;33925.5;1.0
2023-06-28 08:09:45.018;33927.0;33926.0;1.0
2023-06-28 08:09:48.919;33928.0;33927.0;1.0
2023-06-28 08:09:51.617;33927.0;33926.0;1.0
2023-06-28 08:09:54.318;33926.5;33925.5;1.0
2023-06-28 08:09:55.517;33926.0;33925.0;1.0
2023-06-28 08:09:57.318;33925.5;33924.5;1.0
2023-06-28 08:09:58.320;33926.0;33925.0;1.0
2023-06-28 08:09:58.819;33925.5;33924.5;1.0
2023-06-28 08:10:00.418;33926.5;33925.5;1.0
2023-06-28 08:10:00.924;33926.0;33925.0;1.0
2023-06-28 08:10:04.117;33926.5;33925.5;1.0
2023-06-28 08:10:07.116;33927.0;33926.0;1.0
2023-06-28 08:10:07.517;33927.5;33926.5;1.0
2023-06-28 08:10:08.818;33927.0;33926.0;1.0
2023-06-28 08:10:09.222;33926.5;33925.5;1.0
2023-06-28 08:10:10.419;33925.5;33924.5;1.0
2023-06-28 08:10:19.016;33926.0;33925.0;1.0
2023-06-28 08:10:19.519;33926.5;33925.5;1.0
2023-06-28 08:10:21.316;33926.0;33925.0;1.0
2023-06-28 08:10:22.818;33925.5;33924.5;1.0
2023-06-28 08:10:23.117;33925.0;33924.0;1.0
2023-06-28 08:10:27.422;33925.5;33924.5;1.0
2023-06-28 08:10:37.616;33926.0;33925.0;1.0
2023-06-28 08:10:38.123;33925.5;33924.5;1.0
2023-06-28 08:10:39.019;33926.0;33925.0;1.0
2023-06-28 08:10:40.528;33926.5;33925.5;1.0
2023-06-28 08:10:45.016;33927.0;33926.0;1.0
2023-06-28 08:10:46.216;33926.5;33925.5;1.0
2023-06-28 08:10:47.724;33927.0;33926.0;1.0
2023-06-28 08:10:50.416;33927.5;33926.5;1.0
2023-06-28 08:10:53.615;33928.0;33927.0;1.0
2023-06-28 08:10:56.317;33928.5;33927.5;1.0
2023-06-28 08:10:57.026;33929.0;33928.0;1.0
2023-06-28 08:10:58.925;33930.5;33929.5;1.0
2023-06-28 08:11:00.116;33931.0;33930.0;1.0
2023-06-28 08:11:00.917;33930.5;33929.5;1.0
2023-06-28 08:11:03.917;33930.0;33929.0;1.0
2023-06-28 08:11:06.622;33929.0;33928.0;1.0
2023-06-28 08:11:07.623;33929.5;33928.5;1.0
2023-06-28 08:11:08.215;33929.0;33928.0;1.0
2023-06-28 08:11:09.909;33929.5;33928.5;1.0
2023-06-28 08:11:10.217;33930.5;33929.5;1.0
2023-06-28 08:11:12.420;33930.0;33929.0;1.0
2023-06-28 08:11:12.920;33930.5;33929.5;1.0
2023-06-28 08:11:13.716;33931.5;33930.5;1.0
2023-06-28 08:11:15.617;33932.0;33931.0;1.0
2023-06-28 08:11:19.420;33933.5;33932.5;1.0
2023-06-28 08:11:32.019;33933.0;33932.0;1.0
2023-06-28 08:11:33.416;33932.0;33931.0;1.0
2023-06-28 08:11:33.618;33931.5;33930.5;1.0
2023-06-28 08:11:33.919;33929.5;33928.5;1.0
2023-06-28 08:11:35.319;33930.5;33929.5;1.0
2023-06-28 08:11:36.016;33931.0;33930.0;1.0
2023-06-28 08:11:39.622;33930.5;33929.5;1.0
2023-06-28 08:11:42.018;33931.0;33930.0;1.0
2023-06-28 08:11:43.116;33931.5;33930.5;1.0
2023-06-28 08:11:50.419;33931.0;33930.0;1.0
2023-06-28 08:11:51.216;33931.5;33930.5;1.0
2023-06-28 08:11:52.917;33931.0;33930.0;1.0
2023-06-28 08:11:54.316;33931.5;33930.5;1.0
2023-06-28 08:11:55.916;33931.0;33930.0;1.0
2023-06-28 08:11:58.617;33931.5;33930.5;1.0
2023-06-28 08:11:58.917;33931.0;33930.0;1.0
2023-06-28 08:12:00.319;33930.5;33929.5;1.0
2023-06-28 08:12:05.719;33932.5;33931.5;1.0
2023-06-28 08:12:05.920;33931.5;33930.5;1.0
2023-06-28 08:12:08.724;33932.0;33931.0;1.0
2023-06-28 08:12:10.017;33932.5;33931.5;1.0
2023-06-28 08:12:11.739;33932.0;33931.0;1.0
2023-06-28 08:12:12.023;33932.5;33931.5;1.0
2023-06-28 08:12:14.017;33934.0;33933.0;1.0
2023-06-28 08:12:14.419;33934.5;33933.5;1.0
2023-06-28 08:12:14.726;33934.0;33933.0;1.0
2023-06-28 08:12:16.017;33933.5;33932.5;1.0
2023-06-28 08:12:20.816;33934.0;33933.0;1.0
2023-06-28 08:12:21.622;33934.5;33933.5;1.0
2023-06-28 08:12:22.416;33934.0;33933.0;1.0
2023-06-28 08:12:23.021;33934.5;33933.5;1.0
2023-06-28 08:12:29.931;33934.0;33933.0;1.0
2023-06-28 08:12:31.116;33934.5;33933.5;1.0
2023-06-28 08:12:33.022;33935.0;33934.0;1.0
2023-06-28 08:12:33.723;33934.5;33933.5;1.0
2023-06-28 08:12:36.615;33935.0;33934.0;1.0
2023-06-28 08:12:38.152;33934.5;33933.5;1.0
2023-06-28 08:12:46.116;33934.0;33933.0;1.0
2023-06-28 08:13:00.119;33934.5;33933.5;1.0
2023-06-28 08:13:00.724;33935.5;33934.5;1.0
2023-06-28 08:13:04.213;33935.0;33934.0;1.0
2023-06-28 08:13:07.417;33935.5;33934.5;1.0
2023-06-28 08:13:09.435;33935.0;33934.0;1.0
2023-06-28 08:13:10.018;33934.0;33933.0;1.0
2023-06-28 08:13:21.017;33934.5;33933.5;1.0
2023-06-28 08:13:22.919;33935.0;33934.0;1.0
2023-06-28 08:13:23.519;33934.5;33933.5;1.0
2023-06-28 08:13:25.018;33935.0;33934.0;1.0
2023-06-28 08:13:26.617;33935.5;33934.5;1.0
2023-06-28 08:13:27.216;33936.0;33935.0;1.0
2023-06-28 08:13:27.619;33935.5;33934.5;1.0
2023-06-28 08:13:29.820;33935.0;33934.0;1.0
2023-06-28 08:13:30.318;33934.5;33933.5;1.0
2023-06-28 08:13:30.916;33934.0;33933.0;1.0
2023-06-28 08:13:32.016;33935.0;33934.0;1.0
2023-06-28 08:13:32.517;33935.5;33934.5;1.0
2023-06-28 08:13:33.524;33935.0;33934.0;1.0
2023-06-28 08:13:34.917;33934.5;33933.5;1.0
2023-06-28 08:13:37.216;33935.0;33934.0;1.0
2023-06-28 08:13:39.016;33934.5;33933.5;1.0
2023-06-28 08:13:39.516;33935.0;33934.0;1.0
2023-06-28 08:13:41.516;33934.5;33933.5;1.0
2023-06-28 08:13:42.016;33935.0;33934.0;1.0
2023-06-28 08:13:42.716;33934.5;33933.5;1.0
2023-06-28 08:13:50.326;33935.0;33934.0;1.0
2023-06-28 08:13:50.621;33935.5;33934.5;1.0
2023-06-28 08:13:51.426;33936.0;33935.0;1.0
2023-06-28 08:13:51.718;33936.5;33935.5;1.0
2023-06-28 08:13:52.016;33936.0;33935.0;1.0
2023-06-28 08:13:52.618;33936.5;33935.5;1.0
2023-06-28 08:13:55.418;33935.5;33934.5;1.0
2023-06-28 08:13:59.002;33936.0;33935.0;1.0
2023-06-28 08:14:01.016;33935.5;33934.5;1.0
2023-06-28 08:14:01.514;33936.0;33935.0;1.0
2023-06-28 08:14:02.716;33935.0;33934.0;1.0
2023-06-28 08:14:03.316;33935.5;33934.5;1.0
2023-06-28 08:14:07.317;33934.5;33933.5;1.0
2023-06-28 08:14:08.316;33935.0;33934.0;1.0
2023-06-28 08:14:09.217;33935.5;33934.5;1.0
2023-06-28 08:14:12.416;33935.0;33934.0;1.0
2023-06-28 08:14:12.915;33935.5;33934.5;1.0
2023-06-28 08:14:20.716;33936.5;33935.5;1.0
2023-06-28 08:14:21.513;33936.0;33935.0;1.0
2023-06-28 08:14:23.117;33935.5;33934.5;1.0
2023-06-28 08:14:29.217;33936.0;33935.0;1.0
2023-06-28 08:14:30.817;33937.5;33936.5;1.0
2023-06-28 08:14:32.716;33937.0;33936.0;1.0
